Record Creation Date,Join Date,Frequent Flier Number,First Name,Last Name,Inquiry Type,Most Recent Flight #,Lounge Used?,Departing Airport,Arrival Airport,Planned Snack?,Additional Snack?,# of Included Checked Bags,Total # of Checked Bags,Flight Delayed?
2024-02-27,1988-07-08,7234617746,Debbie,Spears,Flight Status,G35206241,FALSE,HND,HND,FALSE,TRUE,2,7,TRUE
2021-03-07,1988-07-08,7234617746,Debbie,Spears,New Flight,V81311927,TRUE,JFK,SFO,FALSE,TRUE,1,6,FALSE
2023-01-31,1988-07-08,7234617746,Debbie,Spears,Cancel Flight,H82295055,FALSE,CDG,ORD,FALSE,FALSE,2,5,TRUE
2021-08-21,2022-06-16,551121699,Kyle,Boone,New Flight,E39886834,TRUE,SEA,DEN,FALSE,TRUE,3,8,FALSE
2022-03-01,2022-06-16,551121699,Kyle,Boone,New Flight,R04390271,TRUE,SFO,DXB,FALSE,FALSE,3,5,FALSE
2022-08-30,2022-06-16,551121699,Kyle,Boone,Flight Status,R17922982,FALSE,SFO,LAX,TRUE,TRUE,1,5,FALSE
2022-10-25,2022-06-16,551121699,Kyle,Boone,Cancel Flight,Q79735097,TRUE,MIA,ATL,FALSE,TRUE,4,7,FALSE
2023-10-14,2022-06-16,551121699,Kyle,Boone,Flight Deal,C90731620,TRUE,JFK,SFO,FALSE,FALSE,3,7,TRUE
2023-05-13,1992-07-19,8148422695,Janet,Cooper,Flight Status,A90359849,TRUE,SEA,CDG,TRUE,FALSE,1,7,TRUE
2022-10-18,1992-07-19,8148422695,Janet,Cooper,Flight Deal,M18536063,FALSE,DFW,LAX,TRUE,FALSE,4,10,TRUE
2022-01-09,1992-07-19,8148422695,Janet,Cooper,Flight Deal,I09090121,FALSE,JFK,SFO,TRUE,FALSE,3,6,TRUE
2023-09-29,1992-07-19,8148422695,Janet,Cooper,Cancel Flight,V29958355,FALSE,LAX,SYD,FALSE,FALSE,3,7,TRUE
2024-09-04,1992-07-19,8148422695,Janet,Cooper,Flight Status,L67741141,FALSE,BOS,CDG,FALSE,FALSE,4,5,TRUE
2021-11-07,1992-07-19,8148422695,Janet,Cooper,Flight Deal,F68885820,FALSE,SEA,ORD,FALSE,FALSE,3,5,TRUE
2024-09-16,1992-07-19,8148422695,Janet,Cooper,Flight Deal,Y89652120,TRUE,ORD,SEA,TRUE,FALSE,1,6,FALSE
2023-04-13,1992-07-19,8148422695,Janet,Cooper,New Flight,Q67525506,TRUE,DEN,SIN,FALSE,TRUE,1,10,FALSE
2023-05-25,1992-07-19,8148422695,Janet,Cooper,Flight Status,O52688958,TRUE,LAX,BOS,TRUE,TRUE,3,4,TRUE
2023-06-10,1992-07-19,8148422695,Janet,Cooper,New Flight,A98904253,TRUE,SFO,SIN,FALSE,FALSE,3,9,TRUE
2024-04-18,1995-11-01,3414172587,Abigail,Dean,Flight Deal,L53709933,TRUE,ORD,LAX,FALSE,FALSE,2,6,TRUE
2022-09-28,1995-11-01,3414172587,Abigail,Dean,New Flight,H22497580,TRUE,ATL,LAX,TRUE,FALSE,4,10,FALSE
2024-04-14,1995-11-01,3414172587,Abigail,Dean,Flight Deal,U71809652,TRUE,DEN,LHR,TRUE,TRUE,2,10,TRUE
2024-03-10,2009-02-23,5259235142,Richard,Munoz,New Flight,T80934864,FALSE,BOS,SIN,FALSE,FALSE,4,5,FALSE
2024-02-11,2009-02-23,5259235142,Richard,Munoz,New Flight,Y35174035,FALSE,JFK,LAX,FALSE,TRUE,4,6,TRUE
2024-06-17,2009-02-23,5259235142,Richard,Munoz,Flight Deal,R34871976,TRUE,BOS,ORD,TRUE,FALSE,2,9,TRUE
2022-08-22,2009-02-23,5259235142,Richard,Munoz,Flight Deal,V57982944,FALSE,LHR,DEN,FALSE,TRUE,4,8,TRUE
